id,leto,ime,sorta,drzava,velikost,znizana_cena,cena,ocena,ocenjevalec
111811,2016,Mas De Boislauzon Cuvee Du Quet Chateauneuf Du Pape,Blend,France,750,118.99,124.99,98,Jeb Dunnuck - jebdunnuck.com
118295,2019,Mylonas Savatiano,Savatiano,Greece,750,13.99,19.99,,
120132,2019,Paolo E Moemia D'amico Noe Dei Calanchi Orvieto,Blend,Italy,750,9.99,11.0,,
117935,2018,Vale De Torre,Blend,Portugal,750,9.98,14.99,,
118238,2019,Owen Roe Wise Guy Sauvignon Blanc,Sauvignon Blanc,United States,750,15.94,19.99,,
113180,2016,Columbia Crest H3 Merlot,Merlot,United States,750,12.09,16.99,,
114310,2018,Stringtown Pinot Noir Willamette Valley,Pinot Noir,United States,750,14.98,20.0,,
116450,2014,Quail Creek Merlot,Merlot,United States,750,11.99,14.99,,
119705,2014,Love And Squalor Antsy Pants Pinot Noir,Pinot Noir,United States,750,48.0,48.0,90,Wine Enthusiast
116319,2016,Podere Montale Peposo Rosso,Blend,Italy,750,17.99,24.99,90,Tastings.com (Beverage Testing Institute)
11966,,Nando Fragolino,Isabella,Italy,750,7.09,9.99,85,Cellar Tracker
116686,2017,Seabold Brosseau Pinot Noir,Pinot Noir,United States,750,39.99,55.0,93,Wine Enthusiast
24280,,Casal Garcia Vinho Verde White,Blend,Portugal,750,5.98,7.99,85,Wine Enthusiast
118558,,Cruset Blanc De Blancs,Blend,France,750,12.99,17.0,92,The Tasting Panel
118552,2015,Dierberg Chardonnay,Chardonnay,United States,750,29.99,32.0,93,William Kelley - Robert Parker&#39;s Wine Advocate
117974,2015,Senorio De Villarrica Baco Rioja,Blend,Spain,750,39.99,55.0,94,Wine Spectator
119593,2018,The Ojai Vineyard 'solomon Hills Vineyard' Chardonnay,Chardonnay,United States,750,35.99,45.99,96,Jeb Dunnuck - jebdunnuck.com
119096,2018,Josh Cellars Cabernet Sauvignon,Cabernet Sauvignon,United States,750,13.09,19.99,,
116421,2018,Daou Estate Cabernet Sauvignon Paso Robles,Cabernet Sauvignon,United States,750,19.99,25.99,,
118408,2014,Finca Sandoval Signo Bobal,Blend,Spain,750,19.99,26.0,93,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
114479,2013,Legit Cabernet Sauvignon,Cabernet Sauvignon,Italy,750,34.99,45.0,94,Wine Spectator
118940,2019,Dr. Loosen L Riesling,Riesling,Germany,750,9.34,13.99,,
119521,2019,Tensley Colson Canyon Syrah,Syrah / Shiraz,United States,750,33.99,46.0,94,Jeb Dunnuck - jebdunnuck.com
120252,2015,Famille Chaussy Chateauneuf Du Pape,Blend,France,750,39.99,49.99,,
117832,2018,Meiomi Pinot Noir,Pinot Noir,United States,750,19.99,26.99,,
117158,2018,Los Vascos Cabernet Sauvignon,Cabernet Sauvignon,Chile,750,9.01,13.99,,
115952,2017,Bogle Merlot,Merlot,United States,750,7.99,11.99,,
118051,2014,Authentique Pinot Noir The Corridor,Pinot Noir,United States,750,29.99,38.0,90,Wine Enthusiast
118628,2019,Kris Pinot Grigio,Pinot Gris / Pinot Grigio,Italy,750,9.99,14.99,,
119159,2014,Lauren Ashton Cellars Cuvee Estelle,Blend,United States,750,36.98,55.0,93,International Wine Report
118986,2018,Domaine Guy Roulot Meursault Clos De Boucheres Monopole Monopole,Chardonnay,France,750,405.99,499.99,,
79942,2012,Premiere Napa Valley Larkmead 2012 Calistoga Cabernet Sauvignon (5 Cs Made),Cabernet Sauvignon,United States,750,799.99,899.99,,
119035,2018,Jj Vincent Bourgogne Blanc,Chardonnay,France,750,16.92,21.99,,
119307,,Chartogne Taillet Cuvee St Anne,Blend,France,750,43.99,60.0,93,James Suckling - Jamessuckling.com
114123,2018,Janasse Viognier Principaute D'orange,Viognier,France,750,19.99,29.99,,
119111,2019,Domaine Huet Vouvray Sec Le Mont,Chenin Blanc,France,750,39.99,45.0,94,Stephan Reinhardt - Robert Parker&#39;s Wine Advocate
117811,2013,La Palazzina Bramatera,Nebbiolo,Italy,750,39.99,47.99,,
