id,vonj
69780,apple
69780,pear
69780,peach
69780,apricot
69780,lemon
69780,lime
69780,orange
69780,pineapple
69780,kiwi
69780,butter
69780,cream
69780,vanilla
115844,barnyard
115844,cherry
115844,plum
115844,game
115844,tomato
115216,currant
115216,blackberry
115216,cherry
115216,cedar
115216,cigar
115216,box
115216,tobacco
115216,broccoli
115216,berry
115216,flower
119931,apple
119931,honey
119931,peach
119931,apricot
118388,floral
118388,grass
118388,almond
114171,barnyard
114171,cherry
114171,plum
114171,game
114171,tomato
114346,apple
114346,pear
114346,peach
114346,apricot
114346,lemon
114346,lime
114346,orange
114346,pineapple
114346,kiwi
114346,butter
114346,cream
114346,vanilla
114899,violet
114899,rose
114899,truffle
114899,earth
114899,coffee
114899,leather
114899,currant
114899,blackberry
114899,cherry
114899,cedar
114899,cigar
114899,box
112511,apple
112511,pear
112511,peach
112511,apricot
112511,lemon
112511,lime
112511,orange
112511,pineapple
112511,kiwi
112511,butter
112511,cream
112511,vanilla
114153,spice
114153,currant
114153,blackberry
114153,boysenberry
114153,blueberry
114153,jam
114153,spice
114153,box
114153,cedar
114153,dark
114153,fruit
114153,vanilla
114153,toast
114153,smoke
114153,tobacco
114153,red
114153,fruit
114101,wildflower
114101,honeysuckle
114101,lime
114101,peel
115940,mango
115940,papaya
115940,tangerine
115940,pineapple
115940,lemon
115940,elderflower
115940,honeysuckle
115940,peach
115940,floral
115940,grass
115940,almond
117857,truffle
117857,cherry
117857,plum
117857,leather
117857,vanilla
113151,currant
113151,blackberry
113151,cherry
113151,cedar
113151,cigar
113151,box
113151,spice
113151,box
113151,dark
113151,fruit
120231,berry
120231,cherry
120231,plum
120231,earth
120231,leather
120231,herb
120231,violet
120231,rose
120231,truffle
120231,earth
120231,coffee
120231,leather
120231,currant
120231,blackberry
120231,cherry
120231,cedar
120231,cigar
120231,box
117650,apple
117650,pear
117650,kiwi
117650,citrus
117650,stone
117650,grapefruit
117650,melon
118105,melon
118105,citrus
118105,spice
120168,exotic
120168,spice
120168,cinnamon
120168,sour
120168,cherry
120168,violet
120168,dark
120168,ripe
120168,cherry
120168,dark
120168,berry
120168,blueberry
120168,spice
120168,barnyard
120168,cherry
120168,plum
120168,game
120168,tomato
117053,apple
117053,pear
117053,kiwi
117053,citrus
117053,stone
117053,grapefruit
117053,melon
119066,cocoa
119066,honey
119066,vanilla
119066,butterscotch
119066,dark
119066,fruit
120338,petrol
120338,flint
120338,rose
120338,petal
120338,violet
120338,orange
120338,peel
120338,apple
120338,pear
120338,peach
114333,barnyard
114333,cherry
114333,plum
114333,game
114333,tomato
115004,violet
115004,rose
115004,truffle
115004,earth
115004,coffee
115004,leather
24950,almond
24950,citrus
24950,herb
24950,perfume
24950,floral
24950,note
24950,mineral
24950,apricot
24950,peach
24950,acacia
24950,jasmine
24950,lemon
24950,peel
24950,fresh
24950,peach
24950,ripe
24950,melon
118647,honeydew
118647,iodine
118647,grass
118647,citrus
118647,melon
118647,kiwi
119537,vanilla
119537,toast
119537,smoke
119537,tobacco
119537,dark
119537,fruit
119537,red
119537,fruit
119537,spice
119537,box
119537,cedar
119537,thyme
119537,clove
119537,cinnamon
119537,black
119537,pepper
119537,mint
114004,currant
114004,blackberry
114004,cherry
114004,cedar
114004,cigar
114004,box
112848,petrol
112848,flint
112848,honey
112848,spice
112848,perfume
112848,peach
112848,mango
119975,apricot
119975,quince
119975,honey
119975,pineapple
119975,cream
119975,apple
119975,pear
119975,kiwi
119975,citrus
119975,stone
119975,grapefruit
119975,melon
118793,apple
118793,pear
118793,peach
118793,apricot
118793,lemon
118793,lime
118793,orange
118793,pineapple
118793,kiwi
118793,butter
118793,cream
118793,vanilla
113688,lemon
113688,elderflower
113688,honeysuckle
113688,peach
116307,rose
116307,orange
116307,peel
116307,floral
116307,tropical
116307,flower
116307,apple
116307,lemon
116307,honeysuckle
116307,spice
116307,pear
116307,peach
116307,apricot
116307,lime
116307,orange
116307,pineapple
116307,kiwi
116307,butter
116307,cream
116307,vanilla
116829,apple
116829,pear
116829,kiwi
116829,citrus
116829,stone
116829,grapefruit
116829,melon
112508,currant
112508,blackberry
112508,cherry
112508,cedar
112508,cigar
112508,box
102246,apricot
102246,quince
102246,honey
102246,pineapple
102246,cream
73345,cocoa
73345,honey
73345,vanilla
73345,butterscotch
73345,dark
73345,fruit
106891,barnyard
106891,cherry
106891,plum
106891,game
106891,tomato
115503,barnyard
115503,cherry
115503,plum
115503,game
115503,tomato
118547,spice
118547,earth
118547,currant
118547,cherry
108647,apple
108647,pear
108647,peach
108647,apricot
108647,lemon
108647,lime
108647,orange
108647,pineapple
108647,kiwi
108647,butter
108647,cream
108647,vanilla
108647,barnyard
108647,cherry
108647,plum
108647,game
108647,tomato
100596,floral
100596,grass
100596,almond
104894,violet
104894,rose
104894,truffle
104894,earth
104894,coffee
104894,leather
104894,tobacco
104894,broccoli
104894,berry
104894,flower
116196,candy
116196,vanilla
116196,oak
116196,smoke
116196,tar
116196,musk
116196,mushroom
116196,spice
116196,box
116196,cedar
116196,dark
116196,fruit
116196,red
116196,fruit
116196,currant
